['2018-03-21', 381099.07, '77.90', '83.86', '82.15', None]
['2018-03-21', 692756.46, '77.90', '83.86', '82.15', None]
['2018-03-23', 94713713.2, '77.88', '85.00', '82.90', None]
['2018-03-23', 162326.0, '77.88', '85.00', '82.90', None]
['2018-03-23', 2845707.0, '77.88', '85.00', '82.90', None]
['2018-03-26', 4329445.35, '77.13', '83.01', '81.65', None]
['2018-03-26', 108096282.19, '77.13', '83.01', '81.65', None]
['2018-03-27', 127257.0, '77.76', '82.58', '82.48', None]
['2018-03-27', 2670000.0, '77.76', '82.58', '82.48', None]
['2018-03-27', 5320292.56, '77.76', '82.58', '82.48', None]
['2018-03-28', 181707202.03, '78.02', '82.19', '83.32', None]
['2018-03-28', 442364.15, '78.02', '82.19', '83.32', None]
['2018-03-28', 848587.49, '78.02', '82.19', '83.32', None]
['2018-03-28', 167623.83, '78.02', '82.19', '83.32', None]
['2018-03-29', 181707202.03, '77.32', '82.65', '82.50', None]
['2018-03-30', 854295.91, '75.81', '82.65', '82.92', None]
['2018-04-02', 108096282.19, '75.52', '82.56', '82.92', None]
['2018-04-02', 210500.0, '75.52', '82.56', '82.92', None]
['2018-04-03', 1272269.65, '76.14', '84.14', '81.64', None]
['2018-04-03', 139616.24, '76.14', '84.14', '81.64', None]
['2018-04-03', 217779.85, '76.14', '84.14', '81.64', None]
['2018-04-04', 14943600.28, '74.19', '84.45', '82.69', None]
['2018-04-04', 206714.85, '74.19', '84.45', '82.69', None]
['2018-04-04', 4632172.0, '74.19', '84.45', '82.69', None]
['2018-04-04', 1181127.99, '74.19', '84.45', '82.69', None]
['2018-04-04', 103581.25, '74.19', '84.45', '82.69', None]
['2018-04-05', 2099622.18, '79.53', '86.18', '82.69', None]
['2018-04-05', 4632172.0, '79.53', '86.18', '82.69', None]
['2018-04-06', 481245.19, '83.12', '86.10', '82.45', None]
['2018-04-06', 494642.27, '83.12', '86.10', '82.45', None]
['2018-04-09', 232000.0, '83.12', '86.10', '83.67', None]
['2018-04-10', 144708.0, '83.19', '86.08', '84.99', None]
['2018-04-10', 4669918.67, '83.19', '86.08', '84.99', None]
['2018-04-10', 149798.4, '83.19', '86.08', '84.99', None]
['2018-04-11', 8145424.86, '83.86', '86.42', '85.39', None]
['2018-04-11', 220832.5, '83.86', '86.42', '85.39', None]
['2018-04-11', 143035.8, '83.86', '86.42', '85.39', None]
['2018-04-11', 38133190.76, '83.86', '86.42', '85.39', None]
['2018-04-11', 162611.7, '83.86', '86.42', '85.39', None]
['2018-04-11', 333735.0, '83.86', '86.42', '85.39', None]
['2018-04-12', 3243419.7, '85.87', '86.62', '84.81', None]
['2018-04-12', 3641346.44, '85.87', '86.62', '84.81', None]
['2018-04-12', 131850.0, '85.87', '86.62', '84.81', None]
['2018-04-12', 1285000.0, '85.87', '86.62', '84.81', None]
['2018-04-16', 4632172.0, '83.01', '86.70', '86.22', None]
['2018-04-16', 244701.0, '83.01', '86.70', '86.22', None]
['2018-04-16', 109838.54, '83.01', '86.70', '86.22', None]
['2018-04-17', 252502.66, '82.58', '86.75', '85.88', None]
['2018-04-17', 131462.52, '82.58', '86.75', '85.88', None]
['2018-04-17', 864149.93, '82.58', '86.75', '85.88', None]
['2018-04-17', 7169676.92, '82.58', '86.75', '85.88', None]
['2018-04-17', 225176.21, '82.58', '86.75', '85.88', None]
['2018-04-18', 234930887.35, '82.19', '86.95', '86.29', None]
['2018-04-18', 38133190.76, '82.19', '86.95', '86.29', None]
